p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.42000017803863e-291,3.03106307431969,0.722,0.495,2.84000035607727e-288,4,Il1r2
1.94886526669613e-117,3.01641489531108,0.618,0.49,3.89773053339226e-114,4,Pard3b
0,3.00424054093971,0.713,0.314,0,4,Atp8b4
0,2.99475607396544,0.838,0.451,0,4,Myo1f
0,2.98254583015534,0.846,0.553,0,4,Nr4a1
0,2.98228891906472,0.77,0.535,0,4,Sla
0,2.96680693190871,0.746,0.42,0,4,Ms4a6c
0,2.96030816864389,0.853,0.586,0,4,Mapk14
0,2.94884067878779,0.797,0.516,0,4,Egr1
3.63663382293516e-148,2.94755342525457,0.413,0.047,7.27326764587032e-145,4,D7Ertd443e
3.79366435798096e-50,2.92460127375034,0.142,0.098,7.58732871596193e-47,4,Syt6
1.41944368794242e-171,2.92248194305457,0.688,0.526,2.83888737588484e-168,4,Carmil1
0,2.91871106391765,0.962,0.706,0,4,Dscam
0,2.91772399867458,0.907,0.62,0,4,Sema4d
0,2.91456731233524,0.829,0.629,0,4,Asb2
0,2.91379983846964,0.694,0.399,0,4,Cfp
6.64998497789695e-186,2.88655208672708,0.579,0.332,1.32999699557939e-182,4,Ncald
5.70652685186111e-229,2.86478994361898,0.435,0.073,1.14130537037222e-225,4,Ifit3b
0,2.85695590727224,0.776,0.477,0,4,Inpp4b
3.18231790206661e-163,2.85664898478946,0.727,0.56,6.36463580413322e-160,4,Dpp10
1.16590702917311e-157,2.85223851165807,0.592,0.352,2.33181405834622e-154,4,Cd200r1
1.46198091657131e-135,2.82702083889541,0.623,0.479,2.92396183314262e-132,4,Pglyrp1
8.75994180028782e-08,2.81420856869864,0.334,0.217,0.000175198836005756,4,Gp2
0,2.81153185134895,0.807,0.541,0,4,Frmd5
4.04466729119359e-230,2.80739021569532,0.708,0.467,8.08933458238719e-227,4,Cyth4
6.21966789766574e-117,2.79509193302583,0.334,0.152,1.24393357953315e-113,4,Chrna9
0,2.78028934110425,0.612,0.226,0,4,Itgb3
0,2.75683603996104,0.878,0.527,0,4,Sirpa
1.47568002851701e-71,2.73127638603014,0.366,0.185,2.95136005703401e-68,4,Zdbf2
2.35442469480411e-222,2.72085003880346,0.667,0.433,4.70884938960823e-219,4,Ear2
0,2.71385895476963,0.98,0.785,0,4,Prkcb
6.32654987473042e-271,2.69726480605916,0.77,0.584,1.26530997494608e-267,4,Havcr2
2.00911055943725e-157,2.668084732245,0.543,0.222,4.0182211188745e-154,4,Zbtb16
0,2.66803944387224,0.759,0.412,0,4,Alox5ap
1.69974399896013e-112,2.63412692890256,0.611,0.465,3.39948799792026e-109,4,Slc43a2
0,2.62620556764424,0.835,0.562,0,4,Ltb
